date	commits	coupled_pairs	cross_layer	top_pair	top_degree_pct
2026-06-30	96	14	0	apps/web/src/components/ads/AdManager.tsx ⇄ apps/web/src/components/ads/AdUnit.tsx	83
2026-06-30	99	14	0	apps/web/src/components/ads/AdManager.tsx ⇄ apps/web/src/components/ads/AdUnit.tsx	83
2026-07-14	71	10	0	apps/web/src/components/ads/AdManager.tsx ⇄ apps/web/src/components/ads/AdUnit.tsx	83
2026-07-15	59	10	0	apps/web/src/components/ads/AdManager.tsx ⇄ apps/web/src/components/ads/AdUnit.tsx	83
2026-07-20	58	10	0	apps/web/src/components/ads/AdManager.tsx ⇄ apps/web/src/components/ads/AdUnit.tsx	83
2026-07-27	54	10	0	apps/web/src/components/ads/AdManager.tsx ⇄ apps/web/src/components/ads/AdUnit.tsx	83
2026-08-03	44	11	0	apps/web/src/components/ads/AdManager.tsx ⇄ apps/web/src/components/ads/AdUnit.tsx	83
2026-08-10	34	6	0	apps/web/src/components/FabFilterSystem.tsx ⇄ apps/web/src/components/MapContainer.tsx	80
2026-08-17	28	4	0	apps/web/src/components/MapContainer.tsx ⇄ apps/web/src/components/ads/AdUnit.tsx	80
2026-08-24	28	4	0	apps/web/src/components/MapContainer.tsx ⇄ apps/web/src/components/ads/AdUnit.tsx	80
2026-08-31	28	4	0	apps/web/src/components/MapContainer.tsx ⇄ apps/web/src/components/ads/AdUnit.tsx	80
2026-09-07	23	0	0	-	0
2026-09-07	23	0	0	-	0
